"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"194",35084,"Scarborough-Sud-Ouest","Peterborough--Kawartha","Peterborough--Kawartha",1
"195",35085,"Simcoe--Grey","Pickering--Uxbridge","Pickering--Uxbridge",1
"196",35086,"Simcoe-Nord","Renfrew--Nipissing--Pembroke","Renfrew--Nipissing--Pembroke",1
"197",35087,"Stormont--Dundas--South Glengarry","Richmond Hill","Richmond Hill",1
"198",35088,"Sudbury","Carleton","Carleton",1
"199",35089,"Thornhill","St. Catharines","St. Catharines",1
"200",35090,"Thunder Bay--Rainy River","Toronto--St. Paul's","Toronto--St. Paul's",1
"201",35091,"Thunder Bay--Superior-Nord","Sarnia--Lambton","Sarnia--Lambton",1
"202",35092,"Timmins--Baie James","Sault Ste. Marie","Sault Ste. Marie",1
"203",35093,"Toronto-Centre","Scarborough--Agincourt","Scarborough--Agincourt",1
"204",35094,"Toronto--Danforth","Scarborough-Centre","Scarborough-Centre",1
"205",35095,"Trinity--Spadina","Scarborough--Guildwood","Scarborough--Guildwood",1
"206",35096,"Vaughan","Scarborough-Nord","Scarborough-Nord",1
"207",35097,"Welland","Scarborough--Rouge Park","Scarborough--Rouge Park",1
"208",35098,"Wellington--Halton Hills","Scarborough-Sud-Ouest","Scarborough-Sud-Ouest",1
"209",35099,"Whitby--Oshawa","Simcoe--Grey","Simcoe--Grey",1
"210",35100,"Willowdale","Simcoe-Nord","Simcoe-Nord",1
"211",35101,"Windsor--Tecumseh","Spadina--Fort York","Spadina--Fort York",1
"212",35102,"Windsor-Ouest","Stormont--Dundas--South Glengarry","Stormont--Dundas--South Glengarry",1
"213",35103,"York-Centre","Sudbury","Sudbury",1
"214",35104,"York--Simcoe","Thornhill","Thornhill",1
"215",35105,"York-Sud--Weston","Thunder Bay--Rainy River","Thunder Bay--Rainy River",1
"216",35106,"York-Ouest","Thunder Bay--Supérieur-Nord","Thunder Bay--Supérieur-Nord",1
"217",35107,NA,"Timmins--Baie James","Timmins--Baie James",NA
"218",35108,NA,"Toronto-Centre","Toronto-Centre",NA
"219",35109,NA,"Toronto--Danforth","Toronto--Danforth",NA
"220",35110,NA,"University--Rosedale","University--Rosedale",NA
"221",35111,NA,"Vaughan--Woodbridge","Vaughan--Woodbridge",NA
"222",35112,NA,"Waterloo","Waterloo",NA
"223",35113,NA,"Wellington--Halton Hills","Wellington--Halton Hills",NA
"224",35114,NA,"Whitby","Whitby",NA
"225",35115,NA,"Willowdale","Willowdale",NA
"226",35116,NA,"Windsor--Tecumseh","Windsor--Tecumseh",NA
"227",35117,NA,"Windsor-Ouest","Windsor-Ouest",NA
"228",35118,NA,"York-Centre","York-Centre",NA
"229",35119,NA,"York--Simcoe","York--Simcoe",NA
"230",35120,NA,"York-Sud--Weston","York-Sud--Weston",NA
"231",35121,NA,"Humber River--Black Creek","Humber River--Black Creek",NA
